14:09:54.579 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
14:09:54.610 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
14:09:54.611 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: JournalAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:09:54.961 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.JournalAppApplicationTests
14:09:55.221 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
14:09:55.235 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1755e85b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@736d6a5c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2371aaca, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5b529706, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@63fdab07, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7b5a12ae, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5553d0f5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1af687fe, org.springframework.test.context.event.EventPublishingTestExecutionListener@14dda234, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3f390d63, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@74a6a609, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5a411614, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2374d36a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@54d18072, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1506f20f]
14:09:55.703 [main] INFO  n.e.j.JournalAppApplicationTests - Starting JournalAppApplicationTests using Java 17.0.12 on pratik with PID 3972 (started by prati in C:\Users\prati\IdeaProjects\lambokEG)
14:09:55.703 [main] DEBUG n.e.j.JournalAppApplicationTests - Running with Spring Boot v2.7.16, Spring v5.3.30
14:09:55.705 [main] INFO  n.e.j.JournalAppApplicationTests - The following 1 profile is active: "prod"
14:09:56.532 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
14:09:56.610 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 2 MongoDB repository interfaces.
14:09:57.664 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='pratikkawadwale2', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@2fbe26da]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.wb3bzdp.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-13epz3-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
14:09:57.860 [cluster-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-srv-cluster0.wb3bzdp.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017 to client view of cluster
14:09:57.894 [cluster-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-srv-cluster0.wb3bzdp.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017 to client view of cluster
14:09:57.895 [cluster-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-srv-cluster0.wb3bzdp.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017 to client view of cluster
14:09:58.157 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@50b734c4 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
14:09:58.835 [cluster-rtt-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:121555}] to ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017
14:09:58.835 [cluster-rtt-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:107879}] to ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017
14:09:58.836 [cluster-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:113158}] to ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017
